============================================================
女足亚洲杯 | 比赛时间: 2026-03-14 13:00 | 中国女 VS 中国台女 | ID: 1318931
============================================================

【 让球指数变动（包含多重让球） 】
  机构: 竞彩官方
  [2026-03-14 11:33:34] 让球:-3   胜:2.94   平:4.6    负:1.75  
  [2026-03-14 11:23:28] 让球:-3   胜:2.77   平:4.55   负:1.83  
  [2026-03-14 11:09:10] 让球:-3   胜:2.67   平:4.55   负:1.87  
  [2026-03-14 10:29:08] 让球:-3   胜:2.5    平:4.55   负:1.97  
  [2026-03-13 20:13:09] 让球:-3   胜:2.4    平:4.55   负:2.03  
  [2026-03-13 19:58:43] 让球:-3   胜:2.4    平:4.35   负:2.07  
  [2026-03-13 13:53:39] 让球:-3   胜:2.5    平:4.35   负:2     
  [2026-03-13 13:45:28] 让球:-3   胜:2.43   平:4.35   负:2.05  
  [2026-03-13 09:39:45] 让球:-3   胜:2.36   平:4.35   负:2.1   
  --------------------------------------------------
  机构: 立博
  [2026-03-14 11:47:46] 让球:-2   胜:1.83   平:4.2    负:3.1   
  [2026-03-14 11:32:08] 让球:-2   胜:1.8    平:4.2    负:3.1   
  [2026-03-14 11:29:19] 让球:-2   胜:1.83   平:4.2    负:3.1   
  [2026-03-14 11:01:46] 让球:-2   胜:1.85   平:4.2    负:3     
  [2026-03-14 10:58:47] 让球:-2   胜:1.85   平:4.2    负:2.9   
  [2026-03-14 10:54:31] 让球:-2   胜:1.85   平:4.2    负:3     
  [2026-03-14 10:51:40] 让球:-2   胜:1.85   平:4.2    负:2.9   
  [2026-03-14 10:08:23] 让球:-2   胜:1.85   平:4.2    负:3     
  [2026-03-14 10:05:27] 让球:-2   胜:1.83   平:4.2    负:3     
  [2026-03-14 09:59:43] 让球:-2   胜:1.8    平:4.2    负:3.1   
  [2026-03-14 09:42:39] 让球:-2   胜:1.83   平:4.2    负:3     
  [2026-03-14 09:22:37] 让球:-2   胜:1.8    平:4.2    负:3.1   
  [2026-03-14 09:21:08] 让球:-2   胜:1.8    平:4.2    负:3.2   
  [2026-03-14 09:06:31] 让球:-2   胜:1.75   平:4.2    负:3.25  
  [2026-03-14 07:59:56] 让球:-2   胜:1.73   平:4.2    负:3.3   
  [2026-03-14 07:37:08] 让球:-2   胜:1.7    平:4.2    负:3.4   
  [2026-03-14 06:47:03] 让球:-2   胜:1.73   平:4.2    负:3.3   
  [2026-03-14 06:31:35] 让球:-2   胜:1.75   平:4.2    负:3.25  
  [2026-03-14 05:34:01] 让球:-2   胜:1.8    平:4.2    负:3.1   
  [2026-03-14 05:27:07] 让球:-2   胜:1.85   平:4.2    负:3     
  [2026-03-14 05:24:23] 让球:-2   胜:1.83   平:4.2    负:3     
  [2026-03-14 05:01:31] 让球:-2   胜:1.8    平:4      负:3.1   
  [2026-03-14 01:55:44] 让球:-2   胜:1.75   平:4.2    负:3.2   
  [2026-03-14 01:38:06] 让球:-2   胜:1.8    平:4.2    负:3.2   
  [2026-03-14 00:31:04] 让球:-2   胜:1.75   平:4.2    负:3.25  
  [2026-03-13 23:23:25] 让球:-2   胜:1.75   平:4.2    负:3.2   
  [2026-03-14 11:47:46] 让球:-3   胜:2.75   平:4.4    负:1.91  
  [2026-03-14 11:32:08] 让球:-3   胜:2.7    平:4.5    负:1.91  
  [2026-03-14 11:29:19] 让球:-3   胜:2.75   平:4.5    负:1.91  
  [2026-03-14 11:01:46] 让球:-3   胜:2.8    平:4.5    负:1.85  
  [2026-03-14 10:58:47] 让球:-3   胜:2.8    平:4.6    负:1.83  
  [2026-03-14 10:54:31] 让球:-3   胜:2.8    平:4.5    负:1.85  
  [2026-03-14 10:51:40] 让球:-3   胜:2.87   平:4.5    负:1.83  
  [2026-03-14 10:27:12] 让球:-3   胜:2.87   平:4.5    负:1.85  
  [2026-03-14 10:08:23] 让球:-3   胜:2.8    平:4.5    负:1.85  
  [2026-03-14 09:52:38] 让球:-3   胜:2.75   平:4.4    负:1.91  
  [2026-03-14 09:22:37] 让球:-3   胜:2.75   平:4.5    负:1.91  
  [2026-03-14 09:21:08] 让球:-3   胜:2.7    平:4.4    负:1.91  
  [2026-03-14 09:06:31] 让球:-3   胜:2.62   平:4.4    负:1.95  
  [2026-03-14 07:59:56] 让球:-3   胜:2.6    平:4.4    负:2     
  [2026-03-14 07:50:02] 让球:-3   胜:2.5    平:4.4    负:2.05  
  [2026-03-14 07:37:08] 让球:-3   胜:2.5    平:4.4    负:2     
  [2026-03-14 06:47:03] 让球:-3   胜:2.6    平:4.4    负:2     
  [2026-03-14 06:31:35] 让球:-3   胜:2.6    平:4.4    负:1.95  
  [2026-03-14 05:34:01] 让球:-3   胜:2.75   平:4.4    负:1.91  
  [2026-03-14 05:24:23] 让球:-3   胜:2.8    平:4.4    负:1.85  
  [2026-03-14 05:01:31] 让球:-3   胜:2.8    平:4.33   负:1.91  
  [2026-03-14 01:55:44] 让球:-3   胜:2.62   平:4.4    负:1.95  
  [2026-03-14 01:38:06] 让球:-3   胜:2.7    平:4.4    负:1.91  
  [2026-03-14 00:31:04] 让球:-3   胜:2.6    平:4.4    负:1.95  
  [2026-03-13 23:23:25] 让球:-3   胜:2.6    平:4.5    负:1.95  
  --------------------------------------------------


