============================================================
英超 | 比赛时间: 2026-03-16 00:30 | 利物浦 VS 热刺 | ID: 1202689
============================================================

【 让球指数变动（包含多重让球） 】
  机构: 竞彩官方
  [2026-03-15 16:46:42] 让球:-1   胜:1.67   平:4.05   负:3.55  
  [2026-03-15 12:08:38] 让球:-1   胜:1.71   平:3.9    负:3.47  
  [2026-03-14 13:31:48] 让球:-1   胜:1.75   平:3.9    负:3.32  
  [2026-03-13 09:39:45] 让球:-1   胜:1.8    平:3.85   负:3.2   
  --------------------------------------------------
  机构: 立博
  [2026-03-15 12:07:59] 让球:-1   胜:1.73   平:4      负:3.4   
  [2026-03-14 19:27:34] 让球:-1   胜:1.73   平:4      负:3.5   
  [2026-03-13 21:51:16] 让球:-1   胜:1.8    平:3.9    负:3.3   
  [2026-03-12 21:23:45] 让球:-1   胜:1.85   平:3.8    负:3.2   
  [2026-03-11 22:16:16] 让球:-1   胜:1.91   平:3.8    负:3.1   
  [2026-03-06 06:15:26] 让球:-1   胜:1.85   平:3.8    负:3.1   
  [2026-03-06 06:07:20] 让球:-1   胜:1.91   平:3.8    负:3.1   
  [2026-03-05 15:27:27] 让球:-1   胜:1.95   平:3.8    负:3     
  --------------------------------------------------
  机构: 平博
  [2026-03-15 19:51:39] 让球:-1   胜:1.77   平:4.24   负:4.02  
  [2026-03-15 19:43:02] 让球:-1   胜:1.76   平:4.26   负:4.06  
  [2026-03-15 19:34:45] 让球:-1   胜:1.79   平:4.21   负:3.97  
  [2026-03-15 19:09:23] 让球:-1   胜:1.78   平:4.24   负:4     
  [2026-03-15 18:31:29] 让球:-1   胜:1.81   平:4.17   负:3.91  
  [2026-03-15 18:29:19] 让球:-1   胜:1.83   平:4.15   负:3.88  
  [2026-03-15 17:13:31] 让球:-1   胜:1.78   平:4.26   负:3.98  
  [2026-03-15 16:35:26] 让球:-1   胜:1.77   平:4.22   负:4.03  
  [2026-03-15 14:10:13] 让球:-1   胜:1.77   平:4.19   负:4     
  [2026-03-15 12:13:04] 让球:-1   胜:1.77   平:4.46   负:3.78  
  [2026-03-15 12:10:54] 让球:-1   胜:1.75   平:4.54   负:3.84  
  [2026-03-15 12:08:50] 让球:-1   胜:1.73   平:4.58   负:3.87  
  [2026-03-15 12:06:47] 让球:-1   胜:1.76   平:4.51   负:3.81  
  [2026-03-15 08:27:22] 让球:-1   胜:1.77   平:4.45   负:3.78  
  [2026-03-15 08:17:02] 让球:-1   胜:1.75   平:4.53   负:3.85  
  [2026-03-15 07:03:43] 让球:-1   胜:1.73   平:4.56   负:3.89  
  [2026-03-15 07:01:39] 让球:-1   胜:1.74   平:4.54   负:3.87  
  [2026-03-15 06:03:22] 让球:-1   胜:1.73   平:4.57   负:3.88  
  [2026-03-15 00:30:25] 让球:-1   胜:1.74   平:4.51   负:3.88  
  [2026-03-14 23:04:15] 让球:-1   胜:1.76   平:4.46   负:3.83  
  [2026-03-14 21:59:34] 让球:-1   胜:1.75   平:4.49   负:3.86  
  [2026-03-14 01:45:24] 让球:-1   胜:1.76   平:4.45   负:3.84  
  [2026-03-14 00:06:29] 让球:-1   胜:1.77   平:4.41   负:3.83  
  [2026-03-13 22:27:59] 让球:-1   胜:1.79   平:4.34   负:3.76  
  [2026-03-13 22:19:28] 让球:-1   胜:1.81   平:4.3    负:3.74  
  [2026-03-13 21:53:51] 让球:-1   胜:1.81   平:4.33   负:3.76  
  [2026-03-13 21:49:38] 让球:-1   胜:1.81   平:4.3    负:3.74  
  [2026-03-13 21:47:30] 让球:-1   胜:1.85   平:4.22   负:3.68  
  [2026-03-13 18:20:03] 让球:-1   胜:1.87   平:4.19   负:3.65  
  [2026-03-13 18:13:40] 让球:-1   胜:1.89   平:4.14   负:3.62  
  [2026-03-11 06:02:44] 让球:-1   胜:1.91   平:4.08   负:3.6   
  [2026-03-11 06:00:42] 让球:-1   胜:1.93   平:4.04   负:3.56  
  [2026-03-11 05:56:36] 让球:-1   胜:1.97   平:3.96   负:3.49  
  [2026-03-11 03:11:01] 让球:-1   胜:2      平:3.92   负:3.45  
  [2026-03-10 00:40:15] 让球:-1   胜:1.92   平:4.06   负:3.59  
  [2026-03-09 18:14:50] 让球:-1   胜:1.91   平:4.03   负:3.57  
  --------------------------------------------------


