============================================================
女足亚洲杯 | 比赛时间: 2026-03-15 13:00 | 日本女 VS 菲律宾女足 | ID: 1318974
============================================================

【 让球指数变动（包含多重让球） 】
  机构: 竞彩官方
  [2026-03-15 12:14:01] 让球:-4   胜:1.96   平:4.9    负:2.41  
  [2026-03-15 12:00:49] 让球:-4   胜:2      平:4.9    负:2.35  
  [2026-03-15 11:24:42] 让球:-4   胜:2.06   平:4.83   负:2.29  
  [2026-03-15 10:54:14] 让球:-4   胜:2.1    平:4.8    负:2.25  
  [2026-03-13 09:39:45] 让球:-4   胜:2.16   平:4.77   负:2.19  
  --------------------------------------------------
  机构: 立博
  [2026-03-15 12:44:54] 让球:-4   胜:1.95   平:5      负:2.45  
  [2026-03-15 12:43:37] 让球:-4   胜:2      平:5      负:2.4   
  [2026-03-15 12:41:02] 让球:-4   胜:2.05   平:5      负:2.3   
  [2026-03-15 12:39:43] 让球:-4   胜:2.1    平:5      负:2.3   
  [2026-03-15 12:35:49] 让球:-4   胜:2.05   平:5      负:2.37  
  [2026-03-15 12:30:34] 让球:-4   胜:2      平:5      负:2.4   
  [2026-03-15 12:27:54] 让球:-4   胜:2      平:5      负:2.37  
  [2026-03-15 12:22:33] 让球:-4   胜:2      平:5      负:2.4   
  [2026-03-15 12:15:56] 让球:-4   胜:2      平:5      负:2.45  
  [2026-03-15 12:11:56] 让球:-4   胜:2      平:5      负:2.4   
  [2026-03-15 12:10:37] 让球:-4   胜:2.05   平:4.8    负:2.3   
  [2026-03-15 12:09:17] 让球:-4   胜:2      平:5      负:2.4   
  [2026-03-15 12:06:41] 让球:-4   胜:2      平:5      负:2.45  
  [2026-03-15 12:05:23] 让球:-4   胜:2      平:5      负:2.4   
  [2026-03-15 12:04:06] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-15 12:00:11] 让球:-4   胜:2      平:5      负:2.45  
  [2026-03-15 11:56:16] 让球:-4   胜:2.05   平:4.8    负:2.3   
  [2026-03-15 11:50:54] 让球:-4   胜:2.05   平:4.8    负:2.37  
  [2026-03-15 11:48:19] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-15 11:47:01] 让球:-4   胜:2.05   平:5      负:2.3   
  [2026-03-15 11:40:32] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-15 11:36:37] 让球:-4   胜:2.05   平:5      负:2.37  
  [2026-03-15 11:33:55] 让球:-4   胜:2.05   平:4.8    负:2.37  
  [2026-03-15 11:24:35] 让球:-4   胜:2.1    平:4.8    负:2.25  
  [2026-03-15 11:23:12] 让球:-4   胜:2.05   平:4.8    负:2.3   
  [2026-03-15 11:17:48] 让球:-4   胜:2.05   平:4.8    负:2.37  
  [2026-03-15 11:13:49] 让球:-4   胜:2.15   平:4.8    负:2.25  
  [2026-03-15 11:05:59] 让球:-4   胜:2.15   平:4.8    负:2.2   
  [2026-03-15 11:04:41] 让球:-4   胜:2.15   平:4.8    负:2.25  
  [2026-03-15 11:00:42] 让球:-4   胜:2.2    平:4.8    负:2.2   
  [2026-03-15 10:58:04] 让球:-4   胜:2.15   平:4.8    负:2.2   
  [2026-03-15 10:55:29] 让球:-4   胜:2.2    平:4.8    负:2.2   
  [2026-03-15 10:52:50] 让球:-4   胜:2.15   平:4.8    负:2.2   
  [2026-03-15 10:51:31] 让球:-4   胜:2.15   平:5      负:2.25  
  [2026-03-15 10:46:22] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-15 10:39:42] 让球:-4   胜:2.05   平:5      负:2.3   
  [2026-03-15 10:38:24] 让球:-4   胜:2.05   平:4.8    负:2.3   
  [2026-03-15 10:37:05] 让球:-4   胜:2.15   平:4.8    负:2.25  
  [2026-03-15 10:35:46] 让球:-4   胜:2.05   平:4.8    负:2.37  
  [2026-03-15 10:25:08] 让球:-4   胜:2.15   平:4.8    负:2.2   
  [2026-03-15 09:58:52] 让球:-4   胜:2.15   平:4.8    负:2.25  
  [2026-03-15 09:54:55] 让球:-4   胜:2.05   平:4.8    负:2.37  
  [2026-03-15 09:53:32] 让球:-4   胜:2.15   平:4.8    负:2.25  
  [2026-03-15 09:52:08] 让球:-4   胜:2.05   平:5      负:2.37  
  [2026-03-15 09:46:50] 让球:-4   胜:2.05   平:4.8    负:2.37  
  [2026-03-15 09:37:40] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-15 09:19:08] 让球:-4   胜:2.15   平:4.8    负:2.25  
  [2026-03-15 09:16:26] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-15 09:15:08] 让球:-4   胜:2.05   平:5      负:2.3   
  [2026-03-15 09:12:32] 让球:-4   胜:2.05   平:4.8    负:2.37  
  [2026-03-15 08:37:02] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-15 08:33:05] 让球:-4   胜:2.05   平:4.8    负:2.3   
  [2026-03-15 08:17:14] 让球:-4   胜:2.05   平:5      负:2.3   
  [2026-03-15 08:15:50] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-15 07:13:54] 让球:-4   胜:2.05   平:5      负:2.3   
  [2026-03-15 06:16:28] 让球:-4   胜:2.05   平:4.8    负:2.3   
  [2026-03-15 06:07:25] 让球:-4   胜:2.1    平:4.8    负:2.3   
  [2026-03-15 06:04:51] 让球:-4   胜:2.15   平:4.8    负:2.25  
  [2026-03-15 04:59:36] 让球:-4   胜:2.2    平:4.8    负:2.25  
  [2026-03-15 04:58:19] 让球:-4   胜:2.2    平:4.8    负:2.2   
