============================================================
西甲 | 比赛时间: 2026-04-04 20:00 | 皇家社会 VS 莱万特 | ID: 1215930
============================================================

【 欧赔指数变动 】
  机构: 竞彩官方 (最近更新: 2026-04-03 09:41:31)
  [2026-04-03 09:41:31] 胜:1.43   平:4.05   负:5.45  
  --------------------------------------------------
  机构: 威廉希尔 (最近更新: 2026-04-01 20:28:54)
  [2026-04-01 20:28:54] 胜:1.57   平:4      负:5     
  [2026-03-30 16:20:39] 胜:1.62   平:3.8    负:5     
  [2026-03-25 23:12:41] 胜:1.62   平:4      负:4.8   
  [2026-03-25 21:23:51] 胜:1.57   平:4      负:5     
  [2026-03-20 18:13:58] 胜:1.55   平:4      负:5.8   
  [2026-03-16 17:02:19] 胜:1.53   平:4      负:5.8   
  [2026-03-16 08:56:14] 胜:1.55   平:3.9    负:6     
  [2026-03-16 05:37:06] 胜:1.55   平:4      负:5.5   
  [2026-03-16 03:54:21] 胜:1.53   平:4      负:5.8   
  --------------------------------------------------
  机构: 澳门 (最近更新: 2026-03-29 21:12:38)
  [2026-03-29 21:12:38] 胜:1.55   平:3.97   负:4.6   
  --------------------------------------------------
  机构: 立博 (最近更新: 2026-04-04 18:07:13)
  [2026-04-04 18:07:13] 胜:1.6    平:4.2    负:5     
  [2026-04-04 13:34:23] 胜:1.61   平:4      负:5     
  [2026-04-01 20:48:33] 胜:1.6    平:4.2    负:5     
  [2026-03-30 16:11:33] 胜:1.61   平:4      负:5     
  [2026-03-26 01:46:46] 胜:1.65   平:4      负:4.8   
  [2026-03-25 21:25:27] 胜:1.61   平:4.2    负:5     
  [2026-03-24 18:31:58] 胜:1.55   平:4.2    负:5.5   
  [2026-03-23 16:32:13] 胜:1.55   平:4.33   负:5.5   
  --------------------------------------------------
  机构: Bet365 (最近更新: 2026-04-04 16:04:17)
  [2026-04-04 18:57:55] 胜:1.6    平:4.33   负:5.25  
  [2026-04-04 16:04:17] 胜:1.57   平:4.2    负:5.25  
  [2026-04-04 16:02:36] 胜:1.6    平:4.33   负:5.25  
  [2026-04-04 12:17:54] 胜:1.6    平:4.2    负:5.25  
  [2026-04-04 11:43:20] 胜:1.62   平:4.1    负:5.25  
  [2026-04-04 11:12:08] 胜:1.6    平:4.2    负:5.25  
  [2026-04-04 10:58:52] 胜:1.57   平:4.2    负:5.5   
  [2026-04-04 07:26:31] 胜:1.6    平:4.2    负:5.25  
  [2026-04-01 10:35:42] 胜:1.57   平:4.2    负:5.5   
  [2026-04-01 10:28:13] 胜:1.55   平:4.2    负:5.25  
  [2026-04-01 09:25:14] 胜:1.57   平:4.2    负:5.5   
  [2026-04-01 02:53:20] 胜:1.55   平:4.2    负:5.25  
  [2026-03-31 18:19:51] 胜:1.55   平:3.9    负:5.75  
  [2026-03-31 18:08:57] 胜:1.6    平:3.8    负:5.5   
  [2026-03-31 17:47:08] 胜:1.55   平:3.9    负:5.75  
  [2026-03-30 16:11:39] 胜:1.6    平:3.8    负:5.5   
  [2026-03-25 21:33:50] 胜:1.62   平:3.75   负:5.25  
  [2026-03-25 21:27:23] 胜:1.6    平:3.8    负:5.5   
  [2026-03-25 21:20:41] 胜:1.6    平:3.75   负:5.5   
  [2026-03-25 21:14:18] 胜:1.57   平:3.8    负:5.5   
  --------------------------------------------------
  机构: Interwetten (最近更新: 2026-04-04 16:54:36)
  [2026-04-04 16:54:36] 胜:1.6    平:4.3    负:5.25  
  [2026-04-04 12:47:14] 胜:1.6    平:4.2    负:5.25  
  [2026-04-04 12:25:44] 胜:1.63   平:4.2    负:5.25  
  [2026-04-04 02:14:46] 胜:1.6    平:4.2    负:5.5   
  [2026-04-03 18:38:15] 胜:1.6    平:4.3    负:5.5   
  [2026-04-01 03:21:41] 胜:1.6    平:4.2    负:5.25  
  [2026-03-31 18:17:54] 胜:1.6    平:4.1    负:5.5   
  [2026-03-30 14:13:26] 胜:1.63   平:4.1    负:5.25  
  [2026-03-30 11:17:10] 胜:1.65   平:4      负:5.25  
  [2026-03-25 23:27:42] 胜:1.63   平:4.1    负:5.25  
  [2026-03-25 21:29:51] 胜:1.6    平:4.2    负:5.5   
  [2026-03-22 17:49:23] 胜:1.55   平:4.3    负:6     
  [2026-03-20 14:39:45] 胜:1.55   平:4.2    负:6     
  [2026-03-19 02:38:17] 胜:1.55   平:4.3    负:6     
  [2026-03-18 09:31:18] 胜:1.55   平:4.2    负:6     
  [2026-03-17 13:10:38] 胜:1.55   平:4.3    负:6     
  [2026-03-17 11:43:33] 胜:1.55   平:4.2    负:6     
  [2026-03-16 22:37:33] 胜:1.55   平:4.3    负:6     
  [2026-03-16 18:04:20] 胜:1.55   平:4.2    负:6     
  --------------------------------------------------
  机构: 皇冠 (最近更新: 2026-04-04 17:15:55)
  [2026-04-04 18:57:06] 胜:1.6    平:4.55   负:5.1   
  [2026-04-04 17:15:55] 胜:1.61   平:4.5    负:5     
  [2026-04-04 17:14:55] 胜:1.62   平:4.45   负:5     
  [2026-04-04 16:08:07] 胜:1.61   平:4.5    负:5     
  [2026-04-04 11:16:30] 胜:1.61   平:4.3    负:5.3   
  [2026-04-01 20:16:36] 胜:1.58   平:4.4    负:5.5   
  [2026-03-30 16:10:10] 胜:1.63   平:4.35   负:5     
  [2026-03-26 20:09:49] 胜:1.67   平:4.25   负:4.9   
  [2026-03-26 20:05:15] 胜:1.68   平:4.25   负:4.8   
  [2026-03-26 01:48:31] 胜:1.67   平:4.25   负:4.85  
  [2026-03-25 21:36:53] 胜:1.63   平:4.35   负:5     
  [2026-03-25 21:28:38] 胜:1.65   平:4.3    负:4.95  
  [2026-03-25 21:27:31] 胜:1.62   平:4.35   负:5.1   
  [2026-03-25 21:21:21] 胜:1.6    平:4.4    负:5.3   
  [2026-03-25 21:16:37] 胜:1.59   平:4.4    负:5.4   
  --------------------------------------------------
  机构: 平博 (最近更新: 2026-04-04 18:49:26)
  [2026-04-04 18:57:18] 胜:1.61   平:4.29   负:5.53  
  [2026-04-04 18:55:06] 胜:1.61   平:4.28   负:5.54  
  [2026-04-04 18:54:43] 胜:1.61   平:4.27   负:5.55  
  [2026-04-04 18:49:26] 胜:1.62   平:4.23   负:5.58  
  [2026-04-04 18:40:17] 胜:1.63   平:4.2    负:5.5   
  [2026-04-04 18:09:53] 胜:1.62   平:4.23   负:5.58  
  [2026-04-04 18:04:14] 胜:1.62   平:4.22   负:5.59  
  [2026-04-04 16:17:13] 胜:1.62   平:4.23   负:5.57  
  [2026-04-04 16:11:15] 胜:1.63   平:4.23   负:5.55  
  [2026-04-04 15:58:07] 胜:1.63   平:4.25   负:5.54  
  [2026-04-04 13:13:35] 胜:1.62   平:4.22   负:5.49  
  [2026-04-04 12:18:22] 胜:1.6    平:4.25   负:5.65  
  [2026-04-04 12:12:26] 胜:1.61   平:4.19   负:5.64  
  [2026-04-04 11:12:39] 胜:1.61   平:4.18   负:5.64  
  [2026-04-04 11:11:55] 胜:1.61   平:4.17   负:5.64  
  [2026-04-04 10:55:31] 胜:1.6    平:4.23   负:5.73  
  [2026-04-04 06:42:20] 胜:1.6    平:4.22   负:5.72  
  [2026-04-04 01:21:43] 胜:1.58   平:4.29   负:5.81  
  [2026-04-04 01:17:53] 胜:1.59   平:4.27   负:5.78  
  [2026-04-03 15:08:31] 胜:1.59   平:4.25   负:5.76  
  [2026-03-31 16:27:33] 胜:1.59   平:4.26   负:5.78  
  [2026-03-31 16:11:52] 胜:1.59   平:4.25   负:5.77  
  [2026-03-31 00:21:39] 胜:1.6    平:4.23   负:5.74  
  [2026-03-31 00:18:55] 胜:1.59   平:4.29   负:5.74  
  [2026-03-30 16:06:56] 胜:1.59   平:4.26   负:5.71  
  [2026-03-30 13:51:41] 胜:1.64   平:4.06   负:5.52  
  [2026-03-29 20:04:16] 胜:1.65   平:4.04   负:5.48  
  [2026-03-26 05:57:42] 胜:1.64   平:4.01   负:5.43  
  [2026-03-25 21:33:11] 胜:1.65   平:3.97   负:5.4   
