============================================================
意甲 | 比赛时间: 2026-04-06 02:45 | 国际米兰 VS 罗马 | ID: 1199649
============================================================

【 欧赔指数变动 】
  机构: 竞彩官方 (最近更新: 2026-04-03 11:02:54)
  [2026-04-03 11:02:54] 胜:1.48   平:3.75   负:5.35  
  [2026-04-03 09:41:31] 胜:1.46   平:3.75   负:5.65  
  --------------------------------------------------
  机构: 威廉希尔 (最近更新: 2026-04-05 14:21:18)
  [2026-04-05 14:21:18] 胜:1.62   平:3.7    负:5     
  [2026-04-05 13:54:05] 胜:1.62   平:3.6    负:5     
  [2026-03-25 10:52:53] 胜:1.62   平:3.75   负:5     
  [2026-03-25 10:28:11] 胜:1.67   平:3.7    负:4.8   
  [2026-03-25 08:27:32] 胜:1.67   平:3.75   负:4.75  
  [2026-03-22 22:37:27] 胜:1.65   平:3.75   负:5     
  [2026-03-22 18:40:49] 胜:1.67   平:3.75   负:4.8   
  [2026-03-21 00:29:38] 胜:1.67   平:3.6    负:4.8   
  [2026-03-16 23:09:51] 胜:1.65   平:3.7    负:5     
  [2026-03-16 22:06:27] 胜:1.62   平:3.6    负:5     
  [2026-03-16 19:20:43] 胜:1.67   平:3.6    负:4.8   
  [2026-03-16 18:27:41] 胜:1.62   平:3.7    负:5     
  [2026-03-16 18:02:49] 胜:1.67   平:3.6    负:4.8   
  [2026-03-16 17:57:21] 胜:1.62   平:3.7    负:5     
  --------------------------------------------------
  机构: 澳门 (最近更新: 2026-03-29 22:13:54)
  [2026-03-29 22:13:54] 胜:1.55   平:3.85   负:4.8   
  --------------------------------------------------
  机构: 立博 (最近更新: 2026-04-05 14:58:07)
  [2026-04-05 14:58:07] 胜:1.61   平:3.9    负:5.25  
  [2026-04-04 17:30:54] 胜:1.65   平:4      负:5     
  [2026-04-02 01:50:29] 胜:1.65   平:3.8    负:5     
  [2026-03-23 16:32:27] 胜:1.67   平:3.8    负:5     
  --------------------------------------------------
  机构: Bet365 (最近更新: 2026-04-05 20:54:28)
  [2026-04-05 20:54:28] 胜:1.6    平:4.1    负:5.5   
  [2026-04-05 20:48:55] 胜:1.62   平:4      负:5.25  
  [2026-04-05 20:45:21] 胜:1.6    平:4.1    负:5.5   
  [2026-04-05 20:23:19] 胜:1.62   平:4      负:5.5   
  [2026-04-05 19:39:39] 胜:1.6    平:4      负:5.75  
  [2026-04-05 17:50:12] 胜:1.55   平:3.7    负:5     
  [2026-04-05 17:42:12] 胜:1.62   平:4      负:5.5   
  [2026-04-05 17:18:39] 胜:1.6    平:4      负:5.5   
  [2026-04-05 15:35:19] 胜:1.62   平:4      负:5.5   
  [2026-04-05 15:16:08] 胜:1.6    平:4.1    负:5.75  
  [2026-04-05 15:03:40] 胜:1.62   平:4      负:5.5   
  [2026-04-05 14:50:14] 胜:1.6    平:4.1    负:5.75  
  [2026-04-05 13:53:45] 胜:1.65   平:4      负:5.25  
  [2026-04-05 13:53:39] 胜:1.62   平:4      负:5.5   
  [2026-04-05 13:07:09] 胜:1.6    平:3.6    负:4.75  
  [2026-04-03 23:38:56] 胜:1.67   平:3.9    负:5.25  
  [2026-04-03 18:17:31] 胜:1.67   平:4      负:5.25  
  [2026-04-02 10:06:41] 胜:1.62   平:4      负:5.5   
  [2026-03-30 14:49:15] 胜:1.6    平:4      负:5.25  
  [2026-03-25 10:17:29] 胜:1.6    平:3.75   负:5.75  
  [2026-03-25 07:59:12] 胜:1.65   平:3.7    负:5.5   
  [2026-03-25 06:05:11] 胜:1.67   平:3.6    负:5.25  
  [2026-03-16 19:48:39] 胜:1.62   平:3.7    负:5.5   
  --------------------------------------------------
  机构: Interwetten (最近更新: 2026-04-05 16:26:29)
  [2026-04-05 16:26:29] 胜:1.65   平:3.85   负:5.25  
  [2026-04-05 15:55:05] 胜:1.63   平:3.9    负:5.5   
  [2026-04-05 15:37:54] 胜:1.63   平:3.95   负:5.5   
  [2026-04-05 14:52:59] 胜:1.63   平:3.9    负:5.5   
  [2026-04-03 15:53:50] 胜:1.65   平:3.9    负:5.25  
