============================================================
法甲 | 比赛时间: 2026-04-06 02:45 | 摩纳哥 VS 马赛 | ID: 1205775
============================================================

【 欧赔指数变动 】
  机构: 竞彩官方 (最近更新: 2026-04-03 09:41:31)
  [2026-04-03 09:41:31] 胜:1.93   平:3.65   负:2.96  
  --------------------------------------------------
  机构: 威廉希尔 (最近更新: 2026-04-05 13:37:44)
  [2026-04-05 13:37:44] 胜:2.1    平:3.4    负:3.2   
  [2026-04-05 03:55:55] 胜:2.1    平:3.4    负:3.25  
  [2026-04-05 02:28:53] 胜:2.1    平:3.5    负:3.1   
  [2026-04-01 18:20:21] 胜:2.15   平:3.5    负:3     
  [2026-03-31 18:13:52] 胜:2.15   平:3.4    负:3     
  [2026-03-26 20:32:29] 胜:2.2    平:3.4    负:2.9   
  [2026-03-24 05:42:42] 胜:2.25   平:3.4    负:2.8   
  [2026-03-23 06:33:59] 胜:2.3    平:3.5    负:2.75  
  [2026-03-23 02:40:17] 胜:2.4    平:3.5    负:2.63  
  [2026-03-20 18:13:31] 胜:2.45   平:3.4    负:2.7   
  [2026-03-16 20:43:21] 胜:2.45   平:3.3    负:2.63  
  [2026-03-16 19:38:13] 胜:2.63   平:3.3    负:2.5   
  [2026-03-16 17:20:27] 胜:2.5    平:3.3    负:2.5   
  [2026-03-16 16:57:41] 胜:2.6    平:3.3    负:2.5   
  [2026-03-16 16:52:31] 胜:2.2    平:3.6    负:2.88  
  [2026-03-16 06:49:34] 胜:2.3    平:3.3    负:2.8   
  [2026-03-16 06:14:36] 胜:2.4    平:3.25   负:2.75  
  [2026-03-16 05:56:53] 胜:2.3    平:3.3    负:2.8   
  [2026-03-16 05:38:25] 胜:2.38   平:3.3    负:2.75  
  [2026-03-16 05:19:05] 胜:2.3    平:3.4    负:2.8   
  [2026-03-16 04:37:51] 胜:2.38   平:3.3    负:2.75  
  [2026-03-16 04:31:57] 胜:2.3    平:3.4    负:2.7   
  [2026-03-16 01:30:36] 胜:2.4    平:3.3    负:2.75  
  --------------------------------------------------
  机构: 澳门 (最近更新: 2026-04-05 14:45:14)
  [2026-04-05 14:45:14] 胜:2.1    平:3.52   负:2.85  
  [2026-03-29 21:55:44] 胜:2.15   平:3.52   负:2.75  
