============================================================
西甲 | 比赛时间: 2026-04-06 03:00 | 阿拉维斯 VS 奥萨苏纳 | ID: 1215884
============================================================

【 亚盘指数变动 】
  机构: 威廉希尔
  [04-05 15:26] 上:1.600  盘:半球升      下:0.500 
  [04-05 14:26] 上:0.710  盘:平手       下:0.950 
  [04-02 01:24] 上:0.680  盘:平手       下:0.990 
  [03-31 19:00] 上:0.670  盘:平手降      下:0.980 
  [03-27 13:14] 上:0.950  盘:平手/半球    下:0.700 
  [03-23 20:29] 上:0.940  盘:平手/半球    下:0.690 
  [03-23 17:34] 上:0.980  盘:平手/半球    下:0.660 
  [03-23 16:36] 上:1.030  盘:平手/半球    下:0.750 
  [03-23 06:32] 上:1.050  盘:平手/半球    下:0.730 
  [03-23 04:46] 上:1.060  盘:平手/半球升   下:0.740 
  [03-23 03:56] 上:0.720  盘:平手       下:1.080 
  [03-22 21:17] 上:0.790  盘:平手       下:0.990 
  [03-22 19:44] 上:0.830  盘:平手       下:0.940 
  [03-22 15:00] 上:0.760  盘:平手       下:1.020 
  [03-22 09:04] 上:0.800  盘:平手       下:0.980 
  [03-22 08:38] 上:0.830  盘:平手       下:0.940 
  [03-22 06:29] 上:0.780  盘:平手       下:1.000 
  [03-22 05:38] 上:0.820  盘:平手降      下:0.950 
  [03-21 00:56] 上:1.500  盘:半球       下:0.530 
  --------------------------------------------------
  机构: 澳门
  [04-05 14:14] 上:0.840  盘:平手降      下:1.000 
  [03-29 21:21] 上:1.020  盘:平手/半球    下:0.820 
  --------------------------------------------------
  机构: 立博
  [04-02 18:46] 上:1.370  盘:半球       下:0.530 
  [03-28 00:06] 上:1.300  盘:半球       下:0.550 
  --------------------------------------------------
  机构: Bet365
  [04-05 17:20] 上:0.880  盘:平手       下:0.980 
  [04-05 15:57] 上:0.850  盘:平手       下:1.000 
  [04-05 15:54] 上:0.880  盘:平手       下:0.980 
  [04-05 14:13] 上:0.850  盘:平手       下:1.000 
  [04-05 14:13] 上:0.830  盘:平手       下:1.030 
  [04-05 12:52] 上:0.800  盘:平手       下:1.050 
  [04-05 12:30] 上:0.780  盘:平手降      下:1.100 
  [04-05 12:26] 上:1.100  盘:平手/半球升   下:0.780 
  [04-05 12:25] 上:0.780  盘:平手降      下:1.100 
  [04-05 12:22] 上:1.100  盘:平手/半球升   下:0.780 
  [04-05 11:17] 上:0.780  盘:平手降      下:1.100 
  [04-05 09:46] 上:1.100  盘:平手/半球升   下:0.780 
  [04-05 09:45] 上:0.780  盘:平手降      下:1.100 
  [04-05 09:44] 上:1.100  盘:平手/半球升   下:0.780 
  [04-05 05:35] 上:0.780  盘:平手       下:1.100 
  [04-04 13:10] 上:0.750  盘:平手       下:1.130 
  [03-31 17:54] 上:0.780  盘:平手降      下:1.100 
  [03-23 06:22] 上:1.050  盘:平手/半球    下:0.800 
  [03-23 03:51] 上:1.100  盘:平手/半球升   下:0.780 
  [03-23 03:45] 上:0.780  盘:平手       下:1.100 
  [03-23 02:48] 上:0.830  盘:平手       下:1.030 
  [03-21 00:56] 上:0.850  盘:平手       下:1.000 
  --------------------------------------------------
  机构: Interwetten
  [04-05 20:28] 上:0.800  盘:平手       下:0.900 
  [04-05 15:55] 上:0.800  盘:平手       下:0.950 
  [04-05 14:34] 上:0.770  盘:平手       下:0.950 
  [04-05 14:16] 上:0.730  盘:平手       下:1.000 
  [04-05 11:34] 上:0.730  盘:平手       下:1.050 
  [04-05 10:09] 上:0.700  盘:平手       下:1.050 
  [04-05 06:05] 上:0.730  盘:平手       下:1.050 
  [03-31 18:17] 上:0.700  盘:平手       下:1.050 
  [03-26 20:06] 上:0.670  盘:平手       下:1.100 
  [03-26 04:05] 上:0.650  盘:平手       下:1.100 
  [03-23 06:35] 上:0.670  盘:平手       下:1.100 
  [03-23 04:05] 上:0.700  盘:平手       下:1.100 
  [03-23 03:57] 上:0.700  盘:平手       下:1.050 
  [03-23 02:54] 上:0.750  盘:平手       下:0.970 
  [03-23 01:34] 上:0.770  盘:平手       下:0.950 
  [03-23 00:22] 上:0.750  盘:平手       下:0.970 
  [03-22 18:07] 上:0.770  盘:平手       下:0.950 
  [03-21 00:56] 上:0.750  盘:平手       下:0.970 
  --------------------------------------------------
  机构: 皇冠
  [04-05 20:56] 上:0.910  盘:平手       下:0.980 
  [04-05 20:26] 上:0.900  盘:平手       下:0.990 
  [04-05 19:57] 上:0.890  盘:平手       下:1.000 
  [04-05 17:24] 上:0.900  盘:平手       下:0.990 
  [04-05 17:20] 上:0.920  盘:平手       下:0.970 
  [04-05 15:55] 上:0.880  盘:平手       下:1.010 
  [04-05 15:53] 上:0.890  盘:平手       下:1.000 
  [04-05 14:51] 上:0.870  盘:平手       下:1.020 
  [04-05 14:32] 上:0.860  盘:平手       下:1.030 
  [04-05 14:13] 上:0.850  盘:平手       下:1.040 
  [04-05 14:01] 上:0.820  盘:平手       下:1.070 
  [04-05 13:44] 上:0.810  盘:平手降      下:1.080 
  [04-05 13:23] 上:1.170  盘:平手/半球    下:0.740 
  [04-05 12:07] 上:1.160  盘:平手/半球    下:0.750 
  [04-05 11:56] 上:1.140  盘:平手/半球    下:0.750 
  [04-05 11:20] 上:1.130  盘:平手/半球    下:0.760 
  [03-31 17:56] 上:1.120  盘:平手/半球    下:0.770 
  [03-30 16:47] 上:1.050  盘:平手/半球    下:0.830 
  [03-23 14:53] 上:1.040  盘:平手/半球升   下:0.840 
  [03-23 03:49] 上:0.700  盘:平手       下:1.210 
  [03-23 02:46] 上:0.790  盘:平手       下:1.090 
  [03-22 17:51] 上:0.870  盘:平手       下:1.010 
  --------------------------------------------------
  机构: 平博
  [04-05 20:14] 上:0.910  盘:平手       下:1.020 
  [04-05 17:21] 上:0.910  盘:平手       下:1.010 
  [04-05 17:20] 上:0.900  盘:平手       下:1.020 
  [04-05 17:20] 上:0.910  盘:平手       下:1.010 
  [04-05 17:18] 上:0.940  盘:平手       下:0.980 
  [04-05 15:56] 上:0.880  盘:平手       下:1.050 
  [04-05 14:15] 上:0.870  盘:平手       下:1.040 
  [04-05 12:50] 上:0.820  盘:平手       下:1.100 
  [04-05 12:10] 上:0.790  盘:平手降      下:1.150 
  [04-05 10:16] 上:1.150  盘:平手/半球    下:0.760 
  [04-05 09:50] 上:1.160  盘:平手/半球    下:0.780 
  [04-05 05:34] 上:1.150  盘:平手/半球升   下:0.790 
  [04-01 16:00] 上:0.790  盘:平手       下:1.140 
  [03-31 17:51] 上:0.800  盘:平手降      下:1.130 
  [03-31 17:50] 上:1.150  盘:平手/半球    下:0.790 
  [03-31 03:01] 上:1.100  盘:平手/半球    下:0.830 
  [03-30 17:24] 上:1.090  盘:平手/半球    下:0.820 
  [03-26 20:01] 上:1.090  盘:平手/半球    下:0.810 
  [03-26 19:46] 上:1.090  盘:平手/半球    下:0.820 
  [03-25 21:34] 上:1.090  盘:平手/半球    下:0.810 
  [03-24 05:03] 上:1.070  盘:平手/半球    下:0.800 
  [03-23 10:25] 上:1.050  盘:平手/半球    下:0.810 
  [03-23 06:19] 上:1.040  盘:平手/半球    下:0.830 
  [03-23 03:47] 上:1.090  盘:平手/半球    下:0.790 
  [03-23 03:46] 上:1.060  盘:平手/半球    下:0.810 
  [03-23 03:45] 上:1.010  盘:平手/半球升   下:0.850 
  [03-21 00:56] 上:0.850  盘:平手       下:1.010 
  --------------------------------------------------
  机构: 利记
  [04-05 21:00] 上:0.910  盘:平手       下:1.030 
  [04-05 19:39] 上:0.900  盘:平手       下:1.030 
  [04-05 19:16] 上:0.890  盘:平手       下:1.040 
  [04-05 19:12] 上:0.880  盘:平手       下:1.030 
  [04-05 19:05] 上:0.890  盘:平手       下:1.040 
  [04-05 18:17] 上:0.900  盘:平手       下:1.030 
  [04-05 18:13] 上:0.910  盘:平手       下:1.020 
  [04-05 17:46] 上:0.900  盘:平手       下:1.030 
  [04-05 17:24] 上:0.940  盘:平手       下:0.990 
  [04-05 17:19] 上:0.900  盘:平手       下:1.030 
  [04-05 15:02] 上:0.890  盘:平手       下:1.040 
  [04-05 14:32] 上:0.880  盘:平手       下:1.040 
  [04-05 14:13] 上:0.870  盘:平手       下:1.050 
  [04-05 13:57] 上:0.850  盘:平手       下:1.070 
  [04-05 13:38] 上:0.830  盘:平手       下:1.090 
  [04-05 12:52] 上:0.810  盘:平手       下:1.120 
  [04-05 12:06] 上:0.790  盘:平手降      下:1.140 
  [04-05 09:57] 上:1.130  盘:平手/半球    下:0.780 
  [04-05 09:54] 上:1.120  盘:平手/半球    下:0.770 
  [04-05 01:53] 上:1.130  盘:平手/半球    下:0.780 
  [04-05 01:50] 上:1.120  盘:平手/半球    下:0.770 
  [04-05 00:50] 上:1.130  盘:平手/半球    下:0.780 
  [04-05 00:44] 上:1.120  盘:平手/半球    下:0.770 
  [04-04 20:12] 上:1.130  盘:平手/半球    下:0.780 
  [04-04 20:09] 上:1.120  盘:平手/半球    下:0.770 
  [04-04 06:38] 上:1.130  盘:平手/半球    下:0.780 
  [04-04 06:33] 上:1.120  盘:平手/半球    下:0.770 
  [04-03 16:20] 上:1.130  盘:平手/半球    下:0.780 
  [04-03 16:17] 上:1.120  盘:平手/半球    下:0.770 
  [04-03 14:39] 上:1.130  盘:平手/半球    下:0.780 
  [04-03 14:36] 上:1.120  盘:平手/半球    下:0.770 
  [04-03 10:05] 上:1.130  盘:平手/半球    下:0.780 
  [04-03 10:01] 上:1.120  盘:平手/半球    下:0.770 
  [04-02 22:13] 上:1.130  盘:平手/半球    下:0.780 
  [04-02 11:56] 上:1.120  盘:平手/半球    下:0.790 
  [04-02 11:53] 上:1.110  盘:平手/半球    下:0.780 
  [04-02 10:40] 上:1.120  盘:平手/半球    下:0.790 
  [04-02 10:37] 上:1.110  盘:平手/半球    下:0.780 
  [04-02 00:13] 上:1.120  盘:平手/半球    下:0.790 
  [04-02 00:10] 上:1.110  盘:平手/半球    下:0.780 
  [03-31 20:20] 上:1.120  盘:平手/半球    下:0.790 
  [03-31 20:17] 上:1.110  盘:平手/半球    下:0.780 
  [03-31 20:08] 上:1.120  盘:平手/半球    下:0.790 
  [03-31 20:04] 上:1.110  盘:平手/半球    下:0.780 
  [03-31 17:22] 上:1.120  盘:平手/半球    下:0.790 
  [03-31 17:19] 上:1.110  盘:平手/半球    下:0.780 
  [03-31 04:32] 上:1.120  盘:平手/半球    下:0.790 
  [03-31 04:27] 上:1.110  盘:平手/半球    下:0.780 
  [03-30 05:27] 上:1.120  盘:平手/半球    下:0.790 
  [03-30 05:24] 上:1.110  盘:平手/半球    下:0.780 
  [03-29 13:40] 上:1.120  盘:平手/半球    下:0.790 
  [03-29 13:37] 上:1.110  盘:平手/半球    下:0.780 
  [03-28 16:42] 上:1.120  盘:平手/半球    下:0.790 
  [03-28 16:36] 上:1.110  盘:平手/半球    下:0.780 
  [03-28 14:46] 上:1.120  盘:平手/半球    下:0.790 
  [03-28 14:42] 上:1.110  盘:平手/半球    下:0.780 
  [03-28 02:56] 上:1.120  盘:平手/半球    下:0.790 
