============================================================
法甲 | 比赛时间: 2026-04-05 23:15 | 洛里昂 VS 巴黎FC | ID: 1205724
============================================================

【 欧赔指数变动 】
  机构: 竞彩官方 (最近更新: 2026-04-03 09:41:31)
  [2026-04-03 09:41:31] 胜:2.09   平:3.1    负:3.05  
  --------------------------------------------------
  机构: 威廉希尔 (最近更新: 2026-04-05 16:44:18)
  [2026-04-05 16:44:18] 胜:2.38   平:3.1    负:3     
  [2026-04-05 13:37:18] 胜:2.3    平:3.1    负:3.1   
  [2026-04-05 03:34:28] 胜:2.25   平:3.2    负:3.1   
  [2026-04-05 03:18:58] 胜:2.2    平:3.25   负:3.1   
  [2026-04-02 12:06:12] 胜:2.2    平:3.2    负:3.1   
  [2026-04-01 18:20:24] 胜:2.25   平:3.2    负:3.1   
  [2026-03-26 20:12:14] 胜:2.25   平:3.1    负:3.1   
  [2026-03-22 17:33:29] 胜:2.3    平:3.1    负:3     
  [2026-03-20 18:13:50] 胜:2.38   平:3      负:3     
  [2026-03-16 16:57:59] 胜:2.3    平:3      负:3     
  [2026-03-16 01:25:12] 胜:2.2    平:3.1    负:3.1   
  --------------------------------------------------
  机构: 澳门 (最近更新: 2026-03-29 20:58:58)
  [2026-03-29 20:58:58] 胜:2.21   平:3.21   负:2.88  
  --------------------------------------------------
  机构: 立博 (最近更新: 2026-04-05 13:24:40)
  [2026-04-05 13:24:40] 胜:2.3    平:3.25   负:3.1   
  [2026-04-05 06:45:23] 胜:2.25   平:3.25   负:3.2   
  [2026-04-02 08:42:21] 胜:2.2    平:3.4    负:3.2   
  [2026-04-02 01:26:29] 胜:2.3    平:3.3    负:3.1   
  [2026-03-30 03:12:41] 胜:2.25   平:3.3    负:3.1   
  [2026-03-26 10:50:55] 胜:2.3    平:3.25   负:3.1   
  [2026-03-23 16:33:57] 胜:2.3    平:3.25   负:3     
  --------------------------------------------------
  机构: Bet365 (最近更新: 2026-04-05 19:35:35)
  [2026-04-05 19:35:35] 胜:2.38   平:3.3    负:3.1   
  [2026-04-05 13:24:13] 胜:2.3    平:3.3    负:3.2   
  [2026-04-05 13:19:52] 胜:2.3    平:3.3    负:3.1   
  [2026-04-03 20:41:14] 胜:2.25   平:3.3    负:3.3   
  [2026-04-03 20:29:55] 胜:2.2    平:3.3    负:3.4   
  [2026-04-03 18:18:55] 胜:2.25   平:3.3    负:3.3   
  [2026-04-02 12:32:37] 胜:2.2    平:3.3    负:3.4   
  [2026-04-02 05:52:55] 胜:2.25   平:3.3    负:3.3   
  [2026-04-01 17:09:20] 胜:2.3    平:3.3    负:3.25  
  [2026-04-01 08:59:44] 胜:2.25   平:3.3    负:3.3   
  [2026-03-28 20:40:56] 胜:2.25   平:3.25   负:3.1   
  [2026-03-24 05:32:38] 胜:2.25   平:3.2    负:3.1   
  [2026-03-16 17:24:41] 胜:2.35   平:3.2    负:3     
  [2026-03-16 00:22:49] 胜:2.2    平:3.2    负:3.25  
  --------------------------------------------------
  机构: Interwetten (最近更新: 2026-04-05 16:27:56)
  [2026-04-05 16:27:56] 胜:2.4    平:3.25   负:3.1   
  [2026-04-05 15:55:29] 胜:2.35   平:3.25   负:3.15  
  [2026-04-05 15:39:56] 胜:2.35   平:3.3    负:3.15  
  [2026-04-05 13:59:05] 胜:2.35   平:3.25   负:3.1   
  [2026-04-05 13:26:40] 胜:2.35   平:3.3    负:3.15  
  [2026-04-05 12:22:52] 胜:2.3    平:3.25   负:3.2   
  [2026-04-05 03:54:52] 胜:2.3    平:3.3    负:3.2   
  [2026-04-02 14:40:53] 胜:2.25   平:3.35   负:3.3   
  [2026-04-02 13:01:41] 胜:2.25   平:3.3    负:3.25  
  [2026-03-30 16:41:58] 胜:2.3    平:3.3    负:3.15  
  [2026-03-29 05:00:05] 胜:2.35   平:3.3    负:3.15  
  [2026-03-24 05:31:11] 胜:2.35   平:3.25   负:3.1   
  [2026-03-23 02:34:08] 胜:2.4    平:3.25   负:3.1   
  [2026-03-23 02:13:07] 胜:2.4    平:3.2    负:3.1   
  --------------------------------------------------
  机构: 皇冠 (最近更新: 2026-04-05 20:41:15)
  [2026-04-05 20:41:15] 胜:2.4    平:3.35   负:3     
  [2026-04-05 18:10:34] 胜:2.42   平:3.3    负:3     
  [2026-04-05 16:05:06] 胜:2.4    平:3.3    负:3     
  [2026-04-05 15:45:41] 胜:2.33   平:3.3    负:3.15  
  [2026-04-05 15:15:33] 胜:2.36   平:3.3    负:3.05  
  [2026-04-05 14:00:47] 胜:2.36   平:3.35   负:3.05  
  [2026-04-05 13:22:59] 胜:2.37   平:3.35   负:3     
  [2026-04-05 13:13:47] 胜:2.3    平:3.35   负:3.15  
  [2026-04-05 13:09:23] 胜:2.29   平:3.45   负:3.1   
  [2026-04-05 09:16:13] 胜:2.28   平:3.35   负:3.2   
  [2026-04-05 03:31:26] 胜:2.25   平:3.35   负:3.25  
  [2026-04-02 08:43:18] 胜:2.23   平:3.5    负:3.2   
  [2026-04-01 18:22:09] 胜:2.29   平:3.5    负:3.05  
  [2026-03-22 17:34:33] 胜:2.34   平:3.4    负:3.05  
  --------------------------------------------------
  机构: 平博 (最近更新: 2026-04-05 20:37:21)
  [2026-04-05 20:37:21] 胜:2.45   平:3.32   负:3.14  
  [2026-04-05 20:17:35] 胜:2.46   平:3.32   负:3.13  
  [2026-04-05 18:41:36] 胜:2.46   平:3.31   负:3.14  
  [2026-04-05 17:49:07] 胜:2.47   平:3.31   负:3.12  
  [2026-04-05 16:02:48] 胜:2.45   平:3.31   负:3.16  
  [2026-04-05 15:55:30] 胜:2.37   平:3.33   负:3.28  
  [2026-04-05 14:15:21] 胜:2.36   平:3.31   负:3.26  
  [2026-04-05 13:03:56] 胜:2.32   平:3.32   负:3.32  
  [2026-04-05 06:18:53] 胜:2.33   平:3.31   负:3.32  
  [2026-04-05 03:10:30] 胜:2.32   平:3.3    负:3.33  
  [2026-04-05 00:32:41] 胜:2.28   平:3.32   负:3.42  
  [2026-04-03 18:13:11] 胜:2.31   平:3.31   负:3.36  
  [2026-04-02 12:02:23] 胜:2.27   平:3.31   负:3.44  
  [2026-04-02 05:50:57] 胜:2.29   平:3.3    负:3.41  
  [2026-04-01 17:06:31] 胜:2.34   平:3.29   负:3.32  
  [2026-03-30 23:15:46] 胜:2.32   平:3.33   负:3.31  
  [2026-03-30 18:00:54] 胜:2.31   平:3.31   负:3.29  
  [2026-03-26 19:47:18] 胜:2.31   平:3.32   负:3.28  
  [2026-03-26 10:47:30] 胜:2.33   平:3.25   负:3.3   
  [2026-03-25 21:33:43] 胜:2.35   平:3.22   负:3.32  
  [2026-03-24 05:25:43] 胜:2.33   平:3.18   负:3.28  
  [2026-03-19 06:44:23] 胜:2.37   平:3.17   负:3.21  
  [2026-03-16 20:21:28] 胜:2.37   平:3.16   负:3.21  
  [2026-03-16 17:51:20] 胜:2.42   平:3.15   负:3.12  
  --------------------------------------------------
  机构: 利记 (最近更新: 2026-04-05 18:36:28)
  [2026-04-05 18:36:28] 胜:2.38   平:3.25   负:2.99  
  [2026-04-05 16:03:29] 胜:2.38   平:3.26   负:2.98  
  [2026-04-05 15:00:27] 胜:2.33   平:3.27   负:3.06  
  [2026-04-05 14:29:41] 胜:2.33   平:3.17   负:2.97  
  [2026-04-05 13:22:47] 胜:2.36   平:3.13   负:2.94  
  [2026-04-05 12:16:41] 胜:2.36   平:3.12   负:2.95  
  [2026-04-05 12:07:34] 胜:2.36   平:3.11   负:2.96  
  [2026-04-05 07:04:07] 胜:2.33   平:3.04   负:2.91  
